Date,btc_market_price,btc_total_bitcoins,btc_market_cap,btc_trade_volume,btc_blocks_size,btc_avg_block_size,btc_n_orphaned_blocks,btc_n_transactions_per_block,btc_median_confirmation_time,btc_hash_rate,btc_difficulty,btc_miners_revenue,btc_transaction_fees,btc_cost_per_transaction_percent,btc_cost_per_transaction,btc_n_unique_addresses,btc_n_transactions,btc_n_transactions_total,btc_n_transactions_excluding_popular,btc_n_transactions_excluding_chains_longer_than_100,btc_output_volume,btc_estimated_transaction_volume,btc_estimated_transaction_volume_usd
02-05-2014,0.061914511,0.424988995,-0.03742867,-0.286124007,-0.301319449,-0.322703297,0.758578367,-0.240781611,-0.001747939,-0.425801536,-0.435802742,0.468969231,-0.4137851,-0.037310667,1.561196044,-0.197662458,-0.297717474,-0.26212855,-0.290831325,-0.32151764,-0.421383384,-0.4586216,-0.338734922
03-05-2014,0.043971244,0.425782721,-0.05118091,-0.272339643,-0.300521324,-0.296175063,0.758578367,-0.231386104,0.245745818,-0.432598404,-0.435802742,0.261823821,-0.420289645,-0.037332169,1.284838776,-0.336580247,-0.342724061,-0.261342486,-0.34634663,-0.340962524,-0.351221718,-0.45066125,-0.338532182
04-05-2014,0.04632966,0.426620543,-0.049216529,-0.341556094,-0.2997232,-0.3189087,0.758578367,-0.279929557,0.130248732,-0.43050706,-0.435802742,0.318563628,-0.433390833,-0.037287731,1.626274969,-0.142043378,-0.393732925,-0.260624518,-0.381158656,-0.375328766,-0.44094066,-0.521997519,-0.3810938
05-05-2014,0.034772044,0.427309542,-0.058052185,-0.277951907,-0.298818659,-0.088419293,0.758578367,-0.389543804,0.275445069,-0.437565346,-0.435802742,0.1227236,-0.402631268,-0.037334402,0.763715292,-0.277517106,-0.265901206,-0.259735895,-0.273378283,-0.31140253,-0.387768807,-0.479873848,-0.358307683
06-05-2014,0.03822002,0.428334772,-0.055214263,-0.256304335,-0.297727888,-0.245865301,1.948185687,-0.430257667,0.004851895,-0.421618849,-0.435802742,0.530678256,-0.365763758,-0.037307984,1.14692618,-0.104899495,-0.126306282,-0.258660912,-0.142637231,-0.255125453,-0.350322495,-0.44054166,-0.334009162
07-05-2014,0.060728407,0.429233226,-0.037625105,-0.185105038,-0.296690327,-0.19706109,3.137793007,-0.218858762,0.199546984,-0.427631462,-0.435802742,0.419347302,-0.389514551,-0.037357406,1.12902847,-0.145537191,-0.192541203,-0.257674353,-0.18336448,-0.269701263,-0.28958085,-0.314447946,-0.249671737
08-05-2014,0.053625577,0.430093096,-0.042984733,-0.289624021,-0.295705973,-0.195897585,-0.431028954,-0.267402214,0.229246234,-0.429461388,-0.435802742,0.359069053,-0.386907122,-0.037336855,1.077896805,-0.127647981,-0.213853486,-0.256716246,-0.209042398,-0.281591229,-0.065800129,-0.414579015,-0.313874089
09-05-2014,0.06813466,0.431008087,-0.031580641,-0.198141669,-0.294695015,-0.224896603,-0.431028954,-0.187540406,0.123648898,-0.426847208,-0.435802742,0.454146209,-0.357266563,-0.037330186,1.273366554,-0.127078578,-0.22119893,-0.255767946,-0.212209028,-0.269826917,-0.047265832,-0.416313062,-0.310599925
10-05-2014,0.068686336,0.431983709,-0.030984922,-0.350003531,-0.293843683,-0.374947843,0.758578367,-0.231386104,-0.067746274,-0.42397161,-0.435802742,0.530061008,-0.422102749,-0.03728136,1.713337291,-0.24751564,-0.30407653,-0.254930287,-0.271674782,-0.306800469,-0.319734254,-0.500024292,-0.362995104
11-05-2014,0.044660839,0.432898699,-0.04946938,-0.225751921,-0.293045558,-0.363851471,0.758578367,-0.325341173,0.173147649,-0.426847208,-0.435802742,0.409083734,-0.442127588,-0.037265705,1.825203467,-0.112705294,-0.389378126,-0.254206506,-0.346858726,-0.374967512,-0.428952149,-0.53219845,-0.387573316
12-05-2014,0.053625577,0.433764081,-0.042368046,-0.324803012,-0.292007996,-0.165657205,0.758578367,-0.442785009,0.156648066,-0.424826616,-0.431520772,0.365565557,-0.397790573,-0.037319121,1.043337714,-0.182012163,-0.196318861,-0.25322499,-0.190136678,-0.294407889,-0.405275609,-0.460255819,-0.341859336
13-05-2014,0.050108641,0.434701119,-0.044941258,-0.319444054,-0.290970434,-0.224295587,3.137793007,-0.403637064,0.004851895,-0.421066057,-0.431520772,0.447144841,-0.39379623,-0.037332279,1.171197169,-0.214915927,-0.189938817,-0.252234957,-0.185276999,-0.248497229,-0.329493665,-0.402902849,-0.307816857
14-05-2014,0.061886927,0.435527918,-0.035655564,-0.30728837,-0.289932873,-0.138004231,-0.431028954,-0.383280132,0.084049897,-0.426851532,-0.431520772,0.33201125,-0.406852076,-0.037363413,0.984376609,-0.181304555,-0.196665146,-0.251253903,-0.19343917,-0.264093974,-0.362019991,-0.313778729,-0.248792381
15-05-2014,0.063955713,0.436442908,-0.033892526,-0.317317444,-0.288842102,-0.169959921,0.758578367,-0.309681995,0.103849398,-0.422223152,-0.431520772,0.445582964,-0.397622474,-0.037351925,1.110289929,-0.0669098,-0.168017913,-0.250234605,-0.141581688,-0.25532964,-0.293726789,-0.335263909,-0.261347672
16-05-2014,0.064672892,0.43744609,-0.033163767,-0.343329536,-0.287804541,-0.273923576,-0.431028954,-0.292456899,-0.140344443,-0.417594772,-0.431520772,0.557149345,-0.407140897,-0.037315449,1.423041384,-0.199923486,-0.20860674,-0.249269494,-0.19797487,-0.266716992,-0.303664844,-0.429379423,-0.319786584
17-05-2014,0.06407984,0.438454784,-0.033452315,-0.380818824,-0.286926604,-0.366237058,0.758578367,-0.251743036,0.024651395,-0.417305498,-0.431520772,0.562004004,-0.436069588,-0.037228179,1.980201077,-0.268279507,-0.348338079,-0.248490924,-0.320888181,-0.313271626,-0.427553726,-0.550566782,-0.395481415
18-05-2014,0.061404211,0.43930363,-0.035388083,-0.381325611,-0.286075271,-0.287371056,0.758578367,-0.178144899,0.041150979,-0.425694437,-0.431520772,0.357521946,-0.447304336,-0.037280707,1.751261567,-0.066655504,-0.399924086,-0.247781222,-0.37735452,-0.337726946,-0.497761457,-0.52857137,-0.382271925
19-05-2014,0.060411194,0.440279252,-0.035994624,-0.336987278,-0.285064313,-0.263974913,-0.431028954,-0.375450543,-0.087545775,-0.419041141,-0.431520772,0.513746175,-0.423995106,-0.03730854,1.65517972,-0.198889715,-0.298063759,-0.246935536,-0.268853033,-0.291926232,-0.430436886,-0.452813096,-0.335522223
20-05-2014,0.113634151,0.441265898,0.005592819,0.091305281,-0.283973543,-0.229954497,0.758578367,-0.358225447,-0.028147273,-0.418462593,-0.431520772,0.634140672,-0.398356834,-0.037360449,1.539728096,-0.060287033,-0.201691528,-0.245961193,-0.178348036,-0.234376913,-0.077392398,-0.256725243,-0.189587341
21-05-2014,0.127232968,0.442247032,0.016360608,-0.224457299,-0.28280296,-0.170555518,-0.431028954,-0.308116077,-0.087545775,-0.418751867,-0.431520772,0.65398391,-0.390871488,-0.037349666,1.521746288,-0.1013504,-0.185237733,-0.244964884,-0.167562683,-0.210408501,-0.254032701,-0.319139856,-0.226206356
22-05-2014,0.167188114,0.443167535,0.047649301,-0.037141006,-0.281738794,-0.195459187,1.948185687,-0.104546761,0.093949647,-0.421933878,-0.431520772,0.644611477,-0.398125384,-0.037353573,1.50840926,-0.191244234,-0.186224121,-0.243969891,-0.196919327,-0.225706819,-0.288500764,-0.324929874,-0.214568862
23-05-2014,0.172194575,0.444038429,0.051722909,0.037625356,-0.28062142,-0.10424613,-0.431028954,-0.278363639,-0.008347772,-0.424537342,-0.431520772,0.58116576,-0.394549954,-0.037368607,1.2890476,-0.048556223,-0.148793835,-0.24292493,-0.157289426,-0.186173076,-0.09374772,-0.257686548,-0.163389372
24-05-2014,0.163988392,0.444964443,0.045514067,-0.265030591,-0.279770087,-0.337540477,-0.431028954,-0.129601446,0.074150147,-0.412849271,-0.423473076,0.64664955,-0.406062713,-0.037407406,2.036715808,-0.279451971,-0.321380298,-0.242110371,-0.303205218,-0.28671161,-0.213517305,0.557297236,0.422697937
25-05-2014,0.237747494,0.445796753,0.103173176,0.182053248,-0.27889215,-0.262013104,0.758578367,-0.275231803,0.295244569,-0.418656929,-0.423473076,0.633870983,-0.438918587,-0.037364212,2.23343377,-0.022164662,-0.365641847,-0.241354902,-0.3278903,-0.31947577,-0.285470027,-0.306657673,-0.172418244
26-05-2014,0.250160208,0.446728279,0.113055667,-0.028588666,-0.277881193,-0.244690783,0.758578367,-0.350395858,0.08074998,-0.412507644,-0.423473076,0.816592205,-0.408512867,-0.037357639,2.022999536,-0.152911792,-0.241115578,-0.24043319,-0.244690498,-0.254512892,-0.325918867,-0.298704718,-0.160892906
27-05-2014,0.247222532,0.447439326,0.11092247,0.067156848,-0.276843631,-0.005336472,0.758578367,-0.455312352,0.255645568,-0.426172721,-0.423473076,0.454667284,-0.403104057,-0.03737696,1.295086652,-0.100288988,-0.22805118,-0.239494037,-0.218573641,-0.226586394,-0.250061803,-0.283845152,-0.150120027
28-05-2014,0.236823437,0.448414948,0.103025046,-0.184756978,-0.275726257,-0.199439079,-0.431028954,-0.383280132,-0.008347772,-0.409774629,-0.423473076,0.8626076,-0.391247449,-0.037370608,1.840531031,-0.013678896,-0.172047414,-0.238480119,-0.155502318,-0.184900834,-0.231254297,-0.186132137,-0.076730287
29-05-2014,0.228093162,0.449137019,0.096369696,-0.179041926,-0.274715299,-0.03808164,-0.431028954,-0.336302598,0.169847733,-0.425489468,-0.423473076,0.444552707,-0.402335625,-0.03735112,1.312151026,-0.113512409,-0.239698956,-0.237556516,-0.237197186,-0.243329727,-0.332973218,-0.417729139,-0.263920689
30-05-2014,0.284681343,0.450035473,0.140739558,-0.066257032,-0.273704341,-0.217666577,0.758578367,-0.348829941,0.08074998,-0.414557406,-0.423473076,0.825961499,-0.40657558,-0.037356601,1.991438503,-0.147350436,-0.229152997,-0.236618833,-0.214341017,-0.217743526,-0.236450446,-0.31884407,-0.163513898
31-05-2014,0.300431698,0.450873295,0.153232899,-0.241120407,-0.272853008,-0.289114601,-0.431028954,-0.19850183,0.103849398,-0.418315302,-0.423473076,0.748825289,-0.43416188,-0.037347593,2.424403771,-0.224977226,-0.352650904,-0.235846021,-0.326897462,-0.282894884,-0.376112347,-0.385222221,-0.214420497
