Open,High,Low,Close,Volume ,MarketCap
2.044527833,2.042557938,2.089540161,2.113319604,1.115336652,2.062435094
2.111328679,2.04369524,2.119555178,2.028298149,1.068947339,2.127549388
2.16676625,2.094219049,2.192408355,2.083020662,1.225360664,2.181538128
2.200428171,2.128200274,2.231849983,2.152153792,1.399967289,2.214262016
2.183157419,2.145604451,2.199779817,2.194085257,1.855220204,2.196977673
2.094509605,2.086407273,2.013425819,2.167675645,2.450672667,2.109789654
2.227778482,2.158551321,2.066712012,2.080195283,2.788359146,2.24006791
2.247604784,2.235531777,2.283093333,2.211368539,1.810899949,2.259211243
2.403635871,2.322472247,2.321328945,2.234196185,1.46375381,2.411698035
2.366574476,2.330778003,2.472917701,2.395195517,1.422039827,2.375014925
2.347187967,2.28318361,2.394145203,2.348499918,1.687963307,2.355701303
2.369058707,2.33863573,2.416345732,2.329218773,2.716925094,2.376781674
2.228598635,2.328802083,2.329488008,2.367863814,3.15995247,2.238932649
2.17840291,2.213233752,2.279290692,2.211593151,2.367073415,2.189449475
2.30477775,2.212372159,2.239049157,2.16275783,1.845079294,2.312816832
2.136777187,2.238897733,2.200444356,2.289947184,2.537717104,2.148055034
2.083954596,2.072012928,2.077615376,2.127612003,1.877253814,2.09603881
2.119625297,2.066027729,1.865713541,2.063798626,3.494875016,2.130607497
2.37791398,2.355660806,2.111814528,2.113201387,2.853136402,2.382990131
2.33515906,2.358199633,2.40401484,2.362224877,3.017882402,2.340829388
2.658834124,2.597400805,2.241793457,2.29438031,4.552313102,2.65707753
2.645985064,2.596642603,2.638018754,2.647233533,2.961825162,2.644128463
2.510160638,2.544246266,2.522364334,2.634938995,3.480529812,2.510926911
2.485556056,2.487633867,2.58275125,2.488468497,2.176537191,2.486497521
2.382204924,2.388366874,2.429328858,2.466964878,2.044608033,2.3850336
2.559179622,2.450493468,2.465767753,2.380122887,2.505017047,2.557642887
2.346962128,2.6004451,2.453806049,2.535034058,3.61818148,2.349833424
2.134863497,2.240758774,2.23153002,2.326511611,2.216166545,2.142144583
2.176929012,2.12482283,2.160547397,2.119632376,2.188546676,2.182893345
2.112659942,2.120250644,2.124896103,2.123817247,2.499644895,2.119666422
2.006051971,2.012999556,2.063057047,2.09213517,2.114407083,2.015186965
1.868527808,1.966864127,1.958465973,1.996769754,2.768700183,1.880488288
1.748310057,1.809123695,1.78278152,1.853171921,2.557804282,1.762740472
1.829338771,1.798646725,1.756938332,1.722022308,2.361487155,1.841520466
1.715313767,1.804494069,1.735525405,1.816761176,1.48686769,1.729874676
1.590091895,1.758875595,1.670191364,1.698769082,1.783727759,1.607294907
