Date,Open,High,Low,Close,Volume,Market.Cap
06-04-2015,-0.541377347,-0.544901579,-0.544167994,-0.547545722,-0.378024345,-0.516895597
05-04-2015,-0.549647638,-0.546187828,-0.547403547,-0.541506713,-0.378827862,-0.523884516
04-04-2015,-0.54901786,-0.55241235,-0.548436955,-0.549661147,-0.393762216,-0.523426296
03-04-2015,-0.550467537,-0.55151657,-0.547477362,-0.54892843,-0.371528588,-0.524701651
02-04-2015,-0.557573334,-0.553331099,-0.555424765,-0.550488409,-0.365004447,-0.53072235
01-04-2015,-0.560983641,-0.561278276,-0.560665622,-0.557260135,-0.372090841,-0.53362772
31-03-2015,-0.55714556,-0.559911637,-0.55872183,-0.560864632,-0.372519105,-0.530484728
30-03-2015,-0.562575909,-0.559325935,-0.563064606,-0.556952866,-0.371814515,-0.535088208
29-03-2015,-0.550859663,-0.554847035,-0.561046999,-0.562649153,-0.374548977,-0.525366283
28-03-2015,-0.557715925,-0.553618208,-0.55351788,-0.550724769,-0.38635859,-0.531153616
27-03-2015,-0.555814709,-0.550632275,-0.555683117,-0.557543768,-0.383783161,-0.52964986
26-03-2015,-0.558535825,-0.553457427,-0.556052191,-0.555771064,-0.366136885,-0.531987066
25-03-2015,-0.557121795,-0.559383357,-0.566386275,-0.558524663,-0.344980595,-0.530872016
24-03-2015,-0.534414142,-0.538929712,-0.556974877,-0.559245563,-0.336200763,-0.512012646
23-03-2015,-0.532857521,-0.527100822,-0.535334813,-0.534250448,-0.372227126,-0.510774175
22-03-2015,-0.542327955,-0.535771514,-0.537992149,-0.532808649,-0.381355496,-0.518744791
21-03-2015,-0.540284147,-0.544442205,-0.542839326,-0.542192158,-0.384085367,-0.517104846
20-03-2015,-0.541092164,-0.54139885,-0.538521156,-0.54014764,-0.381316677,-0.517848922
19-03-2015,-0.547128526,-0.542099396,-0.551463366,-0.541116718,-0.309782168,-0.522936866
18-03-2015,-0.51244321,-0.517867397,-0.549950161,-0.546588462,-0.300857912,-0.494123624
17-03-2015,-0.50587213,-0.509793893,-0.507506601,-0.512079839,-0.37497098,-0.488718614
16-03-2015,-0.511706488,-0.507795614,-0.505882673,-0.506064467,-0.374931535,-0.493646252
15-03-2015,-0.516768477,-0.516500758,-0.511652537,-0.511028036,-0.394854582,-0.497931247
14-03-2015,-0.513191814,-0.516718961,-0.511677142,-0.516357963,-0.372643703,-0.495014528
13-03-2015,-0.501689454,-0.507347724,-0.50631326,-0.512268928,-0.354258399,-0.48552526
12-03-2015,-0.499301051,-0.504373275,-0.497615406,-0.501620891,-0.351829691,-0.483607262
11-03-2015,-0.504778931,-0.504028744,-0.499952877,-0.499221832,-0.348952265,-0.488236277
10-03-2015,-0.506751443,-0.500985389,-0.500900168,-0.504681758,-0.278395334,-0.489955666
09-03-2015,-0.52463476,-0.509414909,-0.520399601,-0.507222633,-0.296328581,-0.504889666
08-03-2015,-0.522709778,-0.526457698,-0.522035831,-0.525256933,-0.373779897,-0.50336463
07-03-2015,-0.527629176,-0.526469182,-0.525025334,-0.522999691,-0.382633193,-0.507518401
06-03-2015,-0.523696034,-0.526744807,-0.525172964,-0.527183271,-0.359481468,-0.504328594
05-03-2015,-0.527094458,-0.522082157,-0.531619464,-0.523094235,-0.333636396,-0.507214104
04-03-2015,-0.516103051,-0.519142161,-0.52748583,-0.526746004,-0.33346818,-0.498159648
03-03-2015,-0.524349577,-0.517339117,-0.527448923,-0.516570688,-0.314521249,-0.505084019
02-03-2015,-0.54180512,-0.528249258,-0.539566867,-0.523696954,-0.335382637,-0.519637115
01-03-2015,-0.549029743,-0.54506236,-0.554797338,-0.541979433,-0.367214432,-0.525686895
28-02-2015,-0.54993282,-0.553066959,-0.550429957,-0.548999338,-0.390723878,-0.526501903
27-02-2015,-0.570228305,-0.550816025,-0.566472393,-0.549507513,-0.327977341,-0.543394332
26-02-2015,-0.569158871,-0.572567401,-0.569154334,-0.57007087,-0.391412399,-0.542570103
25-02-2015,-0.567317068,-0.570695451,-0.567591919,-0.568841796,-0.395843638,-0.541108197
24-02-2015,-0.567186359,-0.570052327,-0.566521603,-0.567340907,-0.390199818,-0.541056417
23-02-2015,-0.57075114,-0.569811155,-0.57141799,-0.567163637,-0.385609128,-0.544070313
22-02-2015,-0.560603397,-0.562598977,-0.569658735,-0.570602681,-0.3790829,-0.535726595
21-02-2015,-0.561542123,-0.552343444,-0.558180521,-0.560498273,-0.394199037,-0.536567138
20-02-2015,-0.565701034,-0.561783588,-0.562953883,-0.561384624,-0.370004828,-0.540076138
19-02-2015,-0.570263953,-0.566871159,-0.567518104,-0.565520932,-0.381705287,-0.543921356
18-02-2015,-0.561506475,-0.56505663,-0.57151641,-0.57018905,-0.367241355,-0.536751561
17-02-2015,-0.573816851,-0.563299523,-0.571553318,-0.561585531,-0.362728512,-0.546987741
16-02-2015,-0.572153287,-0.570488732,-0.575600834,-0.573131738,-0.361078484,-0.545676211
15-02-2015,-0.545191662,-0.540526038,-0.577249366,-0.571973572,-0.301808775,-0.523470983
14-02-2015,-0.571309622,-0.547186967,-0.567591919,-0.545383024,-0.316042296,-0.545110884
13-02-2015,-0.587422431,-0.56963889,-0.585147559,-0.571252672,-0.33062686,-0.558473033
12-02-2015,-0.590702029,-0.590379643,-0.589637965,-0.587407907,-0.388100656,-0.561228027
11-02-2015,-0.590084134,-0.588990035,-0.589072051,-0.590445139,-0.383935516,-0.560775482
10-02-2015,-0.589430591,-0.590827533,-0.592442931,-0.589676968,-0.375768445,-0.560292436
09-02-2015,-0.585735102,-0.588335427,-0.590363811,-0.589357881,-0.361834834,-0.557310459
08-02-2015,-0.580625583,-0.582064967,-0.585369004,-0.585457934,-0.384053853,-0.553146757
07-02-2015,-0.586638179,-0.581077312,-0.583486724,-0.580328913,-0.374747665,-0.558167316
06-02-2015,-0.593423145,-0.58083614,-0.591335707,-0.586805188,-0.368838997,-0.563826972
05-02-2015,-0.58066123,-0.57061506,-0.593193382,-0.592903287,-0.372843851,-0.55337303
04-02-2015,-0.580839469,-0.581352936,-0.585332096,-0.581392535,-0.364333041,-0.553587954
03-02-2015,-0.569028163,-0.563092805,-0.58118616,-0.580896178,-0.334718953,-0.543912135
02-02-2015,-0.582051495,-0.567433893,-0.583425212,-0.567943626,-0.355947663,-0.554700875
01-02-2015,-0.593482558,-0.579618798,-0.596527354,-0.581250718,-0.359044021,-0.564173829
31-01-2015,-0.582110908,-0.577402317,-0.591237287,-0.592489657,-0.371107837,-0.554879623
30-01-2015,-0.574589221,-0.566664441,-0.579513023,-0.581888891,-0.364310292,-0.548747561
29-01-2015,-0.57390003,-0.571418965,-0.585824196,-0.573521732,-0.352605658,-0.548252457
28-01-2015,-0.538252222,-0.539457993,-0.578024423,-0.573049012,-0.32727129,-0.519019298
27-01-2015,-0.526583507,-0.529190976,-0.548990567,-0.538103122,-0.327173615,-0.509503076
